Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-12 00:00:00-04:00,153.02789156316823,156.5466782051351,152.30859314093587,156.40086364746094,7378400,0.0,0.0
2025-05-13 00:00:00-04:00,155.54547131775647,156.22589471688306,152.95984756895766,154.29153442382812,7780800,0.0,0.0
2025-05-14 00:00:00-04:00,153.69857425126816,154.7095016197212,153.16396545892502,153.60137939453125,5988900,0.0,0.0
2025-05-15 00:00:00-04:00,155.12749880741902,158.35467121199716,154.26238581522384,157.86865234375,8727300,0.0,0.0
2025-05-16 00:00:00-04:00,158.10190601362285,158.86009413734095,157.32428781748268,158.71429443359375,7100800,0.0,0.0
2025-05-19 00:00:00-04:00,158.89900669360586,160.53202293781425,158.84068680375822,160.16265869140625,8119900,0.0,0.0
2025-05-20 00:00:00-04:00,160.0071184453218,161.35825018794822,159.99740340836675,161.00831604003906,5576600,0.0,0.0
2025-05-21 00:00:00-04:00,160.21125522255974,161.71790173909997,160.01683582367406,160.80418395996094,6424200,0.0,0.0
2025-05-22 00:00:00-04:00,159.84189129714247,161.55267241164336,159.43363721864063,160.41539001464844,6245600,0.0,0.0
2025-05-23 00:00:00-04:00,160.2209703587637,161.57210212199593,158.90871357606207,161.22216796875,5349800,0.0,0.0
2025-05-27 00:00:00-04:00,160.64866650670484,163.2828802312059,160.64866650670484,163.06903076171875,11423800,0.0,0.0
2025-05-28 00:00:00-04:00,162.96210594974352,164.1188331253892,162.38860729644406,162.6802215576172,5385900,0.0,0.0
2025-05-29 00:00:00-04:00,162.07756361282063,164.2646483322331,161.78594935047548,163.84666442871094,4842500,0.0,0.0
2025-05-30 00:00:00-04:00,164.03135823072415,166.2087279699122,163.88555851181067,165.1394805908203,12587500,0.0,0.0
2025-06-02 00:00:00-04:00,164.2938178171488,164.31324789221412,161.58182430158382,163.08848571777344,7574400,0.0,0.0
2025-06-03 00:00:00-04:00,162.11644426104394,162.72883275016855,161.26104635015471,162.1844940185547,6223000,0.0,0.0
2025-06-04 00:00:00-04:00,162.02895981394332,163.35093162397465,161.28048666323355,161.3096466064453,4939000,0.0,0.0
2025-06-05 00:00:00-04:00,160.8041752780339,160.8139051467235,157.965827226536,158.2477264404297,10351800,0.0,0.0
2025-06-06 00:00:00-04:00,158.72401089188486,160.61949605027894,158.71429585558678,159.43360900878906,5697700,0.0,0.0
2025-06-09 00:00:00-04:00,158.8212431641846,159.43363167671023,157.53816108093878,158.0144500732422,6544200,0.0,0.0
2025-06-10 00:00:00-04:00,158.14080612171847,158.93786927430625,157.39233298546662,158.28660583496094,7680000,0.0,0.0
2025-06-11 00:00:00-04:00,158.0824901056621,158.21857478539167,157.16877232799877,157.5770263671875,5960100,0.0,0.0
2025-06-12 00:00:00-04:00,157.44092355600367,158.74345031657145,157.15902435980982,158.61708068847656,6509900,0.0,0.0
2025-06-13 00:00:00-04:00,158.20883638048846,158.47129068870615,155.4385380857174,155.79818725585938,7104500,0.0,0.0
2025-06-16 00:00:00-04:00,156.3814239501953,157.4214965367743,155.53574109765088,156.3814239501953,6332000,0.0,0.0
2025-06-17 00:00:00-04:00,155.58434910764802,155.88567841612257,153.88328316305612,154.08741760253906,6809700,0.0,0.0
2025-06-18 00:00:00-04:00,154.11655811479665,154.21375297153352,153.25144527962306,153.60137939453125,7211200,0.0,0.0
2025-06-20 00:00:00-04:00,153.61111708851595,154.88448410688727,153.43615742131303,154.6317596435547,16173400,0.0,0.0
2025-06-23 00:00:00-04:00,154.6220512636826,156.68276653743249,154.5540015020948,156.52723693847656,6588200,0.0,0.0
2025-06-24 00:00:00-04:00,156.67302448015008,157.2173780341517,155.18580803210392,155.87596130371094,7470100,0.0,0.0
2025-06-25 00:00:00-04:00,155.35107932361856,155.8565282712367,154.27211683478467,154.52484130859375,5933700,0.0,0.0
2025-06-26 00:00:00-04:00,155.08860878852232,155.09832382538264,152.7751544536732,154.1943359375,7410400,0.0,0.0
2025-06-27 00:00:00-04:00,154.24292622193488,155.65239267135047,153.86383213408064,155.3899383544922,19257000,0.0,0.0
2025-06-30 00:00:00-04:00,154.80671654938587,155.42882007520782,153.70832404992842,154.86505126953125,11238200,0.0,0.0
2025-07-01 00:00:00-04:00,155.40938714674772,157.98528103477406,154.92336831262065,156.7119140625,10664900,0.0,0.0
2025-07-02 00:00:00-04:00,156.63413922322934,156.83827364660206,155.38993227423248,156.6924591064453,8848700,0.0,0.0
2025-07-03 00:00:00-04:00,157.26595724100488,157.48953656878732,155.3218820352797,156.3328094482422,6999600,0.0,0.0
2025-07-07 00:00:00-04:00,156.39114856180615,156.67303297516668,154.8358822731371,156.01205444335938,7225700,0.0,0.0
2025-07-08 00:00:00-04:00,155.0594628675265,155.3121873378044,153.03762260894715,153.47503662109375,12034800,0.0,0.0
2025-07-09 00:00:00-04:00,153.67915530962628,153.77635017340265,151.58926550485268,153.11537170410156,18770900,0.0,0.0
