Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-05-12 00:00:00-04:00,528.1686756229391,529.5718383789062,524.1073743694976,529.5718383789062,7793600,0.0,0.0,0.0
2025-05-13 00:00:00-04:00,529.9770242729754,535.065984763155,529.4335512533492,533.0501708984375,7356800,0.0,0.0,0.0
2025-05-14 00:00:00-04:00,533.9690880450631,535.0066382964393,531.8643139549321,533.712158203125,5031300,0.0,0.0,0.0
2025-05-15 00:00:00-04:00,531.8841147622995,536.8149966601369,531.4691067098139,536.330810546875,7362200,0.0,0.0,0.0
2025-05-16 00:00:00-04:00,537.0323776080226,539.9968415520739,535.2833848933101,539.7893676757812,7255300,0.0,0.0,0.0
2025-05-19 00:00:00-04:00,534.2260932831997,540.96531573862,534.1766976094333,540.3427734375,7766100,0.0,0.0,0.0
2025-05-20 00:00:00-04:00,538.7616590270774,539.5917354853847,535.5699387499851,538.4257202148438,7158200,0.0,0.0,0.0
2025-05-21 00:00:00-04:00,534.5027141685581,538.2379677581171,528.4848860238346,529.4236450195312,6339500,0.0,0.0,0.0
2025-05-22 00:00:00-04:00,529.2556469224985,532.8426534015092,528.1094139781261,529.6707153320312,5816600,0.0,0.0,0.0
2025-05-23 00:00:00-04:00,523.1587161820393,528.4749930958577,522.8424994523051,526.0935668945312,6455900,0.0,0.0,0.0
2025-05-27 00:00:00-04:00,532.3386010629325,537.0817912492231,530.8168647373349,536.9039306640625,6118100,0.0,0.0,0.0
2025-05-28 00:00:00-04:00,537.3485740124007,538.4454714674711,533.2180949773488,533.8406372070312,4910500,0.0,0.0,0.0
2025-05-29 00:00:00-04:00,538.6925517807217,538.8210167150148,532.3584464617888,535.8960571289062,4659500,0.0,0.0,0.0
2025-05-30 00:00:00-04:00,534.9375351910791,536.9534094258679,529.8090097660312,535.3427124023438,6171500,0.0,0.0,0.0
2025-06-02 00:00:00-04:00,533.8505481470529,538.455322265625,531.4295571989908,538.455322265625,5933500,0.0,0.0,0.0
2025-06-03 00:00:00-04:00,538.0799211180993,542.3684788478987,537.6451306268028,541.5087890625,4993600,0.0,0.0,0.0
2025-06-04 00:00:00-04:00,542.2498487913,543.1392120759175,540.9553686490414,541.1629028320312,4543400,0.0,0.0,0.0
2025-06-05 00:00:00-04:00,542.9711927823978,544.1075947443031,536.903969124517,538.6332397460938,6372100,0.0,0.0,0.0
2025-06-06 00:00:00-04:00,543.7815468313498,545.7776387261326,542.2005233563124,544.1372680664062,4736000,0.0,0.0,0.0
2025-06-09 00:00:00-04:00,544.7696105105537,546.1530510540722,543.6826645921958,544.72021484375,4516400,0.0,0.0,0.0
2025-06-10 00:00:00-04:00,545.2439899760357,548.1688890772087,544.2162705623934,547.8230590820312,5984100,0.0,0.0,0.0
2025-06-11 00:00:00-04:00,548.830878167607,549.6411721155296,544.3841828053119,546.3110961914062,20800600,0.0,0.0,0.0
2025-06-12 00:00:00-04:00,545.0660497325637,548.4257994758423,544.6016460233897,548.3764038085938,8422900,0.0,0.0,0.0
2025-06-13 00:00:00-04:00,543.7221505253743,546.6965053740121,540.9256562584673,542.2695922851562,7100600,0.0,0.0,0.0
2025-06-16 00:00:00-04:00,545.4020617780901,549.1076415922383,545.3328837174321,547.5068359375,7421300,0.0,0.0,0.0
2025-06-17 00:00:00-04:00,545.2538120699983,546.6075790645245,542.141161227064,542.8427124023438,4753300,0.0,0.0,0.0
2025-06-18 00:00:00-04:00,543.6431552474866,546.1629979452991,541.8941624663983,542.7340698242188,4602300,0.0,0.0,0.0
